date_time,currency,Today Price,Forecasted Tomorrow Price,Price Score,Today Volume,Forecasted Tomorrow Volume,Volume Score,Today Market Cap,Forecasted Tomorrow Market Cap,Market Cap Score,Sentiment,Sentiment Score
2022-11-11 23:02:40,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 23:11:43,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-12 00:02:36,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-12 00:11:38,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-12 01:02:38,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 01:11:37,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 02:02:38,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 02:11:37,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 03:02:38,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 03:11:40,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 04:02:36,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 04:11:34,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 05:02:38,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
